start_time,datetime,supply_new,supply_total
2021-01-03 21:00:00,2021-01-03 21:00:00,552.728960141,114120028.66753882
2021-01-03 22:00:00,2021-01-03 22:00:00,574.57840643,114120603.23225217
2021-01-03 23:00:00,2021-01-03 23:00:00,583.14600335,114121186.39513688
2021-01-04 00:00:00,2021-01-04 00:00:00,548.811692849,114121735.13509996
2021-01-04 01:00:00,2021-01-04 01:00:00,582.026396463,114122317.22017692
2021-01-04 02:00:00,2021-01-04 02:00:00,585.579421856,114122902.7542927
2021-01-04 03:00:00,2021-01-04 03:00:00,643.63626745,114123546.33637412
2021-01-04 04:00:00,2021-01-04 04:00:00,569.936015354,114124116.34263033
2021-01-04 05:00:00,2021-01-04 05:00:00,564.291443685,114124680.6194272
2021-01-04 06:00:00,2021-01-04 06:00:00,550.794563183,114125231.41162696
2021-01-04 07:00:00,2021-01-04 07:00:00,626.830264693,114125858.24822028
2021-01-04 08:00:00,2021-01-04 08:00:00,543.766166568,114126402.03291272
2021-01-04 09:00:00,2021-01-04 09:00:00,583.95258189,114126985.96840496
2021-01-04 10:00:00,2021-01-04 10:00:00,585.51934786,114127571.39759795
2021-01-04 11:00:00,2021-01-04 11:00:00,582.703262715,114128154.14910065
2021-01-04 12:00:00,2021-01-04 12:00:00,562.809862643,114128717.06337368
2021-01-04 13:00:00,2021-01-04 13:00:00,573.873675049,114129290.86014707
2021-01-04 14:00:00,2021-01-04 14:00:00,600.003676076,114129890.8663594
2021-01-04 15:00:00,2021-01-04 15:00:00,605.07731548,114130496.0245855
2021-01-04 16:00:00,2021-01-04 16:00:00,599.341020752,114131095.36642678
2021-01-04 17:00:00,2021-01-04 17:00:00,607.515376602,114131702.8857411
2021-01-04 18:00:00,2021-01-04 18:00:00,589.06454465,114132291.95750464
2021-01-04 19:00:00,2021-01-04 19:00:00,531.440143746,114132823.38904405
2021-01-04 20:00:00,2021-01-04 20:00:00,639.504446813,114133462.78483458
2021-01-04 21:00:00,2021-01-04 21:00:00,616.086839865,114134078.98468204
2021-01-04 22:00:00,2021-01-04 22:00:00,549.188135642,114134628.15824598
2021-01-04 23:00:00,2021-01-04 23:00:00,613.312015746,114135241.38064988
2021-01-05 00:00:00,2021-01-05 00:00:00,560.624455654,114135802.11345102
2021-01-05 01:00:00,2021-01-05 01:00:00,589.019270532,114136391.06634736
2021-01-05 02:00:00,2021-01-05 02:00:00,531.348502772,114136922.48118582
2021-01-05 03:00:00,2021-01-05 03:00:00,539.065548683,114137461.55140388
2021-01-05 04:00:00,2021-01-05 04:00:00,607.887243399,114138069.43142667
2021-01-05 05:00:00,2021-01-05 05:00:00,662.688387107,114138732.12327696
2021-01-05 06:00:00,2021-01-05 06:00:00,571.841795943,114139303.97167931
2021-01-05 07:00:00,2021-01-05 07:00:00,590.260823787,114139894.20906097
2021-01-05 08:00:00,2021-01-05 08:00:00,597.32768966,114140491.42922856
2021-01-05 09:00:00,2021-01-05 09:00:00,570.211252451,114141061.70361854
2021-01-05 10:00:00,2021-01-05 10:00:00,580.032212304,114141641.79497008
2021-01-05 11:00:00,2021-01-05 11:00:00,541.34418486,114142180.5785292
2021-01-05 12:00:00,2021-01-05 12:00:00,619.860713708,114142802.85660008
2021-01-05 13:00:00,2021-01-05 13:00:00,656.424407925,114143459.1269658
2021-01-05 14:00:00,2021-01-05 14:00:00,553.856005629,114144013.0574583
2021-01-05 15:00:00,2021-01-05 15:00:00,550.575801682,114144563.56269856
2021-01-05 16:00:00,2021-01-05 16:00:00,553.718830047,114145117.5166977
2021-01-05 17:00:00,2021-01-05 17:00:00,639.769920503,114145757.23890236
2021-01-05 18:00:00,2021-01-05 18:00:00,609.825480703,114146367.10666776
2021-01-05 19:00:00,2021-01-05 19:00:00,625.629372632,114146992.68896002
2021-01-05 20:00:00,2021-01-05 20:00:00,632.087936953,114147624.781843
2021-01-05 21:00:00,2021-01-05 21:00:00,574.502892839,114150535.34288771
2021-01-05 22:00:00,2021-01-05 22:00:00,597.134475066,114148796.51747824
2021-01-05 23:00:00,2021-01-05 23:00:00,609.188456588,114149405.7216043
2021-01-06 00:00:00,2021-01-06 00:00:00,571.787951547,114149977.5075726
2021-01-06 01:00:00,2021-01-06 01:00:00,569.568006784,114150546.91514316
2021-01-06 02:00:00,2021-01-06 02:00:00,557.42347916,114151104.4965684
2021-01-06 03:00:00,2021-01-06 03:00:00,537.894353902,114151642.40200111
2021-01-06 04:00:00,2021-01-06 04:00:00,574.292880683,114152216.70436934
2021-01-06 05:00:00,2021-01-06 05:00:00,609.165660961,114152825.63022248
2021-01-06 06:00:00,2021-01-06 06:00:00,568.698400521,114153394.4437466
2021-01-06 07:00:00,2021-01-06 07:00:00,563.835258624,114153958.40626082
2021-01-06 08:00:00,2021-01-06 08:00:00,626.614665267,114154584.95677246
2021-01-06 09:00:00,2021-01-06 09:00:00,596.132898898,114155181.12787268
2021-01-06 10:00:00,2021-01-06 10:00:00,593.977937804,114155775.09909584
2021-01-06 11:00:00,2021-01-06 11:00:00,546.426921163,114156321.5002731
2021-01-06 12:00:00,2021-01-06 12:00:00,601.736876209,114156923.2535967
2021-01-06 13:00:00,2021-01-06 13:00:00,590.143230122,114157513.3129692
2021-01-06 14:00:00,2021-01-06 14:00:00,609.179276546,114158120.03062166
2021-01-06 15:00:00,2021-01-06 15:00:00,657.90016605,114158780.3625
2021-01-06 16:00:00,2021-01-06 16:00:00,555.665998064,114159336.16953118
2021-01-06 17:00:00,2021-01-06 17:00:00,622.789092855,114159958.76287636
2021-01-06 18:00:00,2021-01-06 18:00:00,575.152130727,114160534.1113263
2021-01-06 19:00:00,2021-01-06 19:00:00,625.72181407,114161159.83603512
2021-01-06 20:00:00,2021-01-06 20:00:00,608.685702335,114161768.51145914
2021-01-06 21:00:00,2021-01-06 21:00:00,591.572935063,114162360.08950593
2021-01-06 22:00:00,2021-01-06 22:00:00,547.678004591,114162907.76887572
2021-01-06 23:00:00,2021-01-06 23:00:00,583.331210105,114163490.98809564
2021-01-07 00:00:00,2021-01-07 00:00:00,584.975246051,114164076.06058468
2021-01-07 01:00:00,2021-01-07 01:00:00,552.637125869,114164628.68012932
2021-01-07 02:00:00,2021-01-07 02:00:00,626.959064235,114165255.5206026
2021-01-07 03:00:00,2021-01-07 03:00:00,625.094818223,114165878.1939299
2021-01-07 04:00:00,2021-01-07 04:00:00,583.141540986,114166463.87494192
2021-01-07 05:00:00,2021-01-07 05:00:00,516.032078334,114166979.9661771
2021-01-07 06:00:00,2021-01-07 06:00:00,573.729718284,114167551.0972675
2021-01-07 07:00:00,2021-01-07 07:00:00,637.919018473,114168191.62362416
2021-01-07 08:00:00,2021-01-07 08:00:00,610.422833328,114168802.0301042
2021-01-07 09:00:00,2021-01-07 09:00:00,546.663029855,114169348.70283344
2021-01-07 10:00:00,2021-01-07 10:00:00,575.274828567,114169923.97164305
2021-01-07 11:00:00,2021-01-07 11:00:00,610.567820966,114170531.9447987
2021-01-07 12:00:00,2021-01-07 12:00:00,579.616450692,114171113.92576183
2021-01-07 13:00:00,2021-01-07 13:00:00,585.967882819,114171700.13893405
2021-01-07 14:00:00,2021-01-07 14:00:00,628.00849909,114183336.14477073
2021-01-07 15:00:00,2021-01-07 15:00:00,595.396677406,114172923.53769584
2021-01-07 16:00:00,2021-01-07 16:00:00,555.787671642,114173479.30742487
2021-01-07 17:00:00,2021-01-07 17:00:00,581.797653097,114174061.10891214
2021-01-07 18:00:00,2021-01-07 18:00:00,528.916074422,114174590.04212011
2021-01-07 19:00:00,2021-01-07 19:00:00,524.876105562,114175112.3118134
2021-01-07 20:00:00,2021-01-07 20:00:00,558.263818883,114175673.18679789
2021-01-07 21:00:00,2021-01-07 21:00:00,630.23200987,114176303.4303746
2021-01-07 22:00:00,2021-01-07 22:00:00,589.910176179,114176890.71781836
2021-01-07 23:00:00,2021-01-07 23:00:00,531.874503273,114177425.1384796
2021-01-08 00:00:00,2021-01-08 00:00:00,617.311770199,114178042.43970308
2021-01-08 01:00:00,2021-01-08 01:00:00,619.821420799,114178662.3436706
2021-01-08 02:00:00,2021-01-08 02:00:00,608.933344739,114179271.15162902
2021-01-08 03:00:00,2021-01-08 03:00:00,588.531344169,114179857.19020154
2021-01-08 04:00:00,2021-01-08 04:00:00,558.369180315,114180418.05986904
2021-01-08 05:00:00,2021-01-08 05:00:00,596.736098986,114181014.9099183
2021-01-08 06:00:00,2021-01-08 06:00:00,616.349580199,114181631.20307392
2021-01-08 07:00:00,2021-01-08 07:00:00,563.288830139,114182194.54854748
2021-01-08 08:00:00,2021-01-08 08:00:00,634.765498608,114182829.30956116
2021-01-08 09:00:00,2021-01-08 09:00:00,609.915520735,114183439.2364413
2021-01-08 10:00:00,2021-01-08 10:00:00,613.25675232,114184052.48790856
2021-01-08 11:00:00,2021-01-08 11:00:00,605.327978111,114184657.73948622
2021-01-08 12:00:00,2021-01-08 12:00:00,591.42020444,114185249.23332566
