start_time,close,high,low,open,volume,change
2021-01-01 00:00:00,28990.0,29026.0,28703.5,28921.5,917.494,
2021-01-01 01:00:00,29411.0,29505.5,28956.5,28990.0,1927.83,0.014522249051396985
2021-01-01 02:00:00,29218.0,29462.0,29150.0,29411.0,931.537,-0.006562170616436047
2021-01-01 03:00:00,29303.0,29358.5,29171.5,29218.0,440.535,0.0029091655828599183
2021-01-01 04:00:00,29229.5,29397.5,29078.0,29303.0,711.549,-0.0025082756031805653
2021-01-01 05:00:00,29204.5,29232.0,29120.5,29229.5,313.622,-0.0008553002959339473
2021-01-01 06:00:00,29175.5,29276.5,29123.0,29204.5,237.292,-0.0009929976544710284
2021-01-01 07:00:00,29097.5,29200.0,28847.0,29175.5,652.849,-0.0026734760329728546
2021-01-01 08:00:00,29045.0,29186.0,28903.0,29097.5,479.384,-0.0018042787181029585
2021-01-01 09:00:00,29243.5,29312.0,29021.5,29045.0,539.991,0.006834222757789554
2021-01-01 10:00:00,29270.5,29383.5,29219.0,29243.5,555.235,0.00092328209687631
2021-01-01 11:00:00,29343.5,29453.5,29270.5,29270.5,402.753,0.0024939785791155966
2021-01-01 12:00:00,29276.0,29673.5,29199.0,29343.5,1495.5,-0.002300339087020986
2021-01-01 13:00:00,29494.5,29502.0,29264.5,29276.0,456.379,0.007463451291159995
2021-01-01 14:00:00,29360.0,29567.5,29311.0,29494.5,452.269,-0.004560172235501536
2021-01-01 15:00:00,29226.0,29407.5,29070.0,29360.0,820.595,-0.004564032697547682
2021-01-01 16:00:00,29325.0,29374.0,29171.5,29226.0,640.163,0.0033873947854650144
2021-01-01 17:00:00,29087.5,29353.0,28962.0,29325.0,1217.397,-0.008098891730605295
2021-01-01 18:00:00,29074.5,29273.0,28654.0,29087.5,1989.03,-0.0004469273743016311
2021-01-01 19:00:00,29038.5,29125.0,28968.0,29074.5,909.486,-0.001238198421297021
2021-01-01 20:00:00,29230.0,29288.0,28888.5,29038.5,866.992,0.006594693252061967
2021-01-01 21:00:00,29180.0,29292.0,29169.5,29230.0,628.187,-0.0017105713308245285
2021-01-01 22:00:00,29262.5,29329.0,29129.0,29180.0,924.458,0.00282727895819046
2021-01-01 23:00:00,29325.0,29330.5,29241.0,29262.5,723.885,0.0021358393848782686
2021-01-02 00:00:00,29196.5,29333.0,28967.5,29325.0,927.032,-0.004381926683716952
2021-01-02 01:00:00,29384.0,29410.0,29125.5,29196.5,669.985,0.006422002637302526
2021-01-02 02:00:00,29332.0,29468.0,29332.0,29384.0,644.619,-0.0017696705690171122
2021-01-02 03:00:00,29357.5,29379.0,29279.5,29332.0,351.467,0.0008693576980771667
2021-01-02 04:00:00,29343.0,29389.5,29244.0,29357.5,671.057,-0.0004939112662862843
2021-01-02 05:00:00,29615.5,29615.5,29343.0,29343.0,1125.074,0.009286712333435476
2021-01-02 06:00:00,29734.5,29789.0,29495.0,29615.5,1226.608,0.004018166162989001
2021-01-02 07:00:00,29777.0,29849.0,29663.5,29734.5,857.722,0.0014293161142779898
2021-01-02 08:00:00,29866.5,29877.0,29677.5,29777.0,931.603,0.0030056755213756503
2021-01-02 09:00:00,29647.0,29930.0,29607.5,29866.5,1008.201,-0.007349371369259838
2021-01-02 10:00:00,29701.5,29841.5,29510.0,29647.0,812.922,0.0018382972982089463
2021-01-02 11:00:00,29782.5,29800.0,29662.5,29701.5,259.279,0.002727134993182112
2021-01-02 12:00:00,30644.5,30934.0,29771.0,29782.5,5091.224,0.028943171325442885
2021-01-02 13:00:00,31610.0,31610.0,30572.5,30644.5,4226.395,0.03150646935012813
2021-01-02 14:00:00,31345.0,31630.0,31144.5,31610.0,1944.077,-0.008383422967415344
