start_time,date,fund_flow_ratio
2021-05-20,2021-05-20,0.03223988
2021-05-21,2021-05-21,0.03363726
2021-05-22,2021-05-22,0.01799796
2021-05-23,2021-05-23,0.02260114
2021-05-24,2021-05-24,0.02666766
2021-05-25,2021-05-25,0.02729814
2021-05-26,2021-05-26,0.01684294
2021-05-27,2021-05-27,0.01451608
2021-05-28,2021-05-28,0.01834587
2021-05-29,2021-05-29,0.01406674
2021-05-30,2021-05-30,0.02028061
2021-05-31,2021-05-31,0.02325073
2021-06-01,2021-06-01,0.01554802
2021-06-02,2021-06-02,0.03377955
2021-06-03,2021-06-03,0.02071233
2021-06-04,2021-06-04,0.03366624
2021-06-05,2021-06-05,0.02362936
2021-06-06,2021-06-06,0.00887941
2021-06-07,2021-06-07,0.01374532
2021-06-08,2021-06-08,0.01442781
2021-06-09,2021-06-09,0.02650349
2021-06-10,2021-06-10,0.02535153
2021-06-11,2021-06-11,0.01519172
2021-06-12,2021-06-12,0.01907362
2021-06-13,2021-06-13,0.01612637
2021-06-14,2021-06-14,0.01740413
2021-06-15,2021-06-15,0.01973054
2021-06-16,2021-06-16,0.02016476
2021-06-17,2021-06-17,0.02058472
2021-06-18,2021-06-18,0.03733247
2021-06-19,2021-06-19,0.01468697
2021-06-20,2021-06-20,0.01610624
2021-06-21,2021-06-21,0.02201858
2021-06-22,2021-06-22,0.02706121
2021-06-23,2021-06-23,0.02231649
2021-06-24,2021-06-24,0.01382687
2021-06-25,2021-06-25,0.01895721
2021-06-26,2021-06-26,0.01687984
2021-06-27,2021-06-27,0.01450465
2021-06-28,2021-06-28,0.01677574
2021-06-29,2021-06-29,0.01882403
2021-06-30,2021-06-30,0.02003799
2021-07-01,2021-07-01,0.01108376
2021-07-02,2021-07-02,0.01170316
2021-07-03,2021-07-03,0.01060357
2021-07-04,2021-07-04,0.00794468
2021-07-05,2021-07-05,0.01115316
2021-07-06,2021-07-06,0.01530885
2021-07-07,2021-07-07,0.0211604
2021-07-08,2021-07-08,0.00656474
2021-07-09,2021-07-09,0.00707038
2021-07-10,2021-07-10,0.00522962
2021-07-11,2021-07-11,0.0058286
2021-07-12,2021-07-12,0.01435761
2021-07-13,2021-07-13,0.01187045
2021-07-14,2021-07-14,0.01241541
2021-07-15,2021-07-15,0.0163374
2021-07-16,2021-07-16,0.01346167
2021-07-17,2021-07-17,0.00752995
2021-07-18,2021-07-18,0.01022074
2021-07-19,2021-07-19,0.01476681
2021-07-20,2021-07-20,0.01454268
2021-07-21,2021-07-21,0.01370907
2021-07-22,2021-07-22,0.0133568
2021-07-23,2021-07-23,0.00974282
2021-07-24,2021-07-24,0.00979061
2021-07-25,2021-07-25,0.01205683
2021-07-26,2021-07-26,0.0220637
2021-07-27,2021-07-27,0.00510203
2021-07-28,2021-07-28,0.02292909
2021-07-29,2021-07-29,0.01950819
2021-07-30,2021-07-30,0.01912913
2021-07-31,2021-07-31,0.00629437
2021-08-01,2021-08-01,0.00422077
2021-08-02,2021-08-02,0.00709585
2021-08-03,2021-08-03,0.01610893
2021-08-04,2021-08-04,0.00787827
2021-08-05,2021-08-05,0.01640672
2021-08-06,2021-08-06,0.02300442
2021-08-07,2021-08-07,0.01206377
2021-08-08,2021-08-08,0.01317341
2021-08-09,2021-08-09,0.02290228
2021-08-10,2021-08-10,0.0171624
2021-08-11,2021-08-11,0.01662139
2021-08-12,2021-08-12,0.00992462
2021-08-13,2021-08-13,0.01191952
2021-08-14,2021-08-14,0.00820237
2021-08-15,2021-08-15,0.00766764
2021-08-16,2021-08-16,0.01001386
2021-08-17,2021-08-17,0.00786294
2021-08-18,2021-08-18,0.01052405
2021-08-19,2021-08-19,0.00749261
2021-08-20,2021-08-20,0.01594962
2021-08-21,2021-08-21,0.02323066
2021-08-22,2021-08-22,0.00606325
2021-08-23,2021-08-23,0.006763
2021-08-24,2021-08-24,0.00211058
2021-08-25,2021-08-25,0.00609911
2021-08-26,2021-08-26,0.00580637
2021-08-27,2021-08-27,0.00509495
2021-08-28,2021-08-28,0.00355968
2021-08-29,2021-08-29,0.00302025
2021-08-30,2021-08-30,0.00536864
2021-08-31,2021-08-31,0.00665573
2021-09-01,2021-09-01,0.00772261
2021-09-02,2021-09-02,0.00541661
2021-09-03,2021-09-03,0.0076729
2021-09-04,2021-09-04,0.00514426
2021-09-05,2021-09-05,0.00476356
2021-09-06,2021-09-06,0.00648072
2021-09-07,2021-09-07,0.01041418
2021-09-08,2021-09-08,0.00968135
2021-09-09,2021-09-09,0.00783297
2021-09-10,2021-09-10,0.00296485
2021-09-11,2021-09-11,0.0030353
2021-09-12,2021-09-12,0.00265479
2021-09-13,2021-09-13,0.00316498
2021-09-14,2021-09-14,0.00215243
2021-09-15,2021-09-15,0.00497537
2021-09-16,2021-09-16,0.00470124
2021-09-17,2021-09-17,0.00472991
2021-09-18,2021-09-18,0.00411885
2021-09-19,2021-09-19,0.00387414
2021-09-20,2021-09-20,0.0045345
2021-09-21,2021-09-21,0.00214468
2021-09-22,2021-09-22,0.00459997
2021-09-23,2021-09-23,0.00516175
2021-09-24,2021-09-24,0.00705114
2021-09-25,2021-09-25,0.00221944
2021-09-26,2021-09-26,0.00548927
2021-09-27,2021-09-27,0.00412206
2021-09-28,2021-09-28,0.00581081
2021-09-29,2021-09-29,0.00564005
2021-09-30,2021-09-30,0.00492804
2021-10-01,2021-10-01,0.00451629
2021-10-02,2021-10-02,0.00454724
2021-10-03,2021-10-03,0.0044439
2021-10-04,2021-10-04,0.00440818
2021-10-05,2021-10-05,0.00558631
2021-10-06,2021-10-06,0.00600736
2021-10-07,2021-10-07,0.00545467
2021-10-08,2021-10-08,0.00520754
2021-10-09,2021-10-09,0.00443336
2021-10-10,2021-10-10,0.00414805
2021-10-11,2021-10-11,0.00475989
2021-10-12,2021-10-12,0.00573119
2021-10-13,2021-10-13,0.00691182
2021-10-14,2021-10-14,0.00733915
2021-10-15,2021-10-15,0.00923029
2021-10-16,2021-10-16,0.00764302
2021-10-17,2021-10-17,0.00387317
2021-10-18,2021-10-18,0.0049642
2021-10-19,2021-10-19,0.00510332
2021-10-20,2021-10-20,0.00525497
2021-10-21,2021-10-21,0.00972975
2021-10-22,2021-10-22,0.00630541
2021-10-23,2021-10-23,0.00466025
2021-10-24,2021-10-24,0.00443234
2021-10-25,2021-10-25,0.00441872
2021-10-26,2021-10-26,0.00609078
2021-10-27,2021-10-27,0.00985374
2021-10-28,2021-10-28,0.01208612
2021-10-29,2021-10-29,0.00813829
2021-10-30,2021-10-30,0.00536436
2021-10-31,2021-10-31,0.00520817
2021-11-01,2021-11-01,0.00596298
2021-11-02,2021-11-02,0.01003308
2021-11-03,2021-11-03,0.00705454
2021-11-04,2021-11-04,0.00536548
2021-11-05,2021-11-05,0.00404543
2021-11-06,2021-11-06,0.00250644
2021-11-07,2021-11-07,0.0029756
2021-11-08,2021-11-08,0.00449704
2021-11-09,2021-11-09,0.00458269
2021-11-10,2021-11-10,0.00442196
2021-11-11,2021-11-11,0.00485047
2021-11-12,2021-11-12,0.00413195
2021-11-13,2021-11-13,0.00204049
2021-11-14,2021-11-14,0.00340675
2021-11-15,2021-11-15,0.00428276
2021-11-16,2021-11-16,0.00290783
2021-11-17,2021-11-17,0.00421937
2021-11-18,2021-11-18,0.01030435
2021-11-19,2021-11-19,0.00816951
2021-11-20,2021-11-20,0.00586948
2021-11-21,2021-11-21,0.0053141
2021-11-22,2021-11-22,0.005787
2021-11-23,2021-11-23,0.0047441
2021-11-24,2021-11-24,0.00380603
2021-11-25,2021-11-25,0.00449779
2021-11-26,2021-11-26,0.00974415
2021-11-27,2021-11-27,0.00447931
2021-11-28,2021-11-28,0.00326438
2021-11-29,2021-11-29,0.00539832
2021-11-30,2021-11-30,0.00501663
2021-12-01,2021-12-01,0.00586582
2021-12-02,2021-12-02,0.00541694
2021-12-03,2021-12-03,0.00604785
2021-12-04,2021-12-04,0.00898032
2021-12-05,2021-12-05,0.00964906
2021-12-06,2021-12-06,0.00708061
2021-12-07,2021-12-07,0.00705685
2021-12-08,2021-12-08,0.00375077
2021-12-09,2021-12-09,0.00565135
2021-12-10,2021-12-10,0.00575628
2021-12-11,2021-12-11,0.00743596
2021-12-12,2021-12-12,0.0033495
2021-12-13,2021-12-13,0.00569254
2021-12-14,2021-12-14,0.00222997
2021-12-15,2021-12-15,0.00418238
2021-12-16,2021-12-16,0.00384455
2021-12-17,2021-12-17,0.00631162
2021-12-18,2021-12-18,0.01166738
2021-12-19,2021-12-19,0.00307547
2021-12-20,2021-12-20,0.00395972
2021-12-21,2021-12-21,0.00644978
2021-12-22,2021-12-22,0.00790874
2021-12-23,2021-12-23,0.00490859
2021-12-24,2021-12-24,0.00478081
2021-12-25,2021-12-25,0.01263162
2021-12-26,2021-12-26,0.00340718
2021-12-27,2021-12-27,0.00740814
2021-12-28,2021-12-28,0.0079576
2021-12-29,2021-12-29,0.00498644
2021-12-30,2021-12-30,0.00503947
2021-12-31,2021-12-31,0.00635806
2022-01-01,2022-01-01,0.00393528
2022-01-02,2022-01-02,0.00334086
2022-01-03,2022-01-03,0.00284772
2022-01-04,2022-01-04,0.02179304
2022-01-05,2022-01-05,0.00420198
2022-01-06,2022-01-06,0.0075829
2022-01-07,2022-01-07,0.005522
2022-01-08,2022-01-08,0.00392069
2022-01-09,2022-01-09,0.00363126
2022-01-10,2022-01-10,0.00641367
2022-01-11,2022-01-11,0.00340989
2022-01-12,2022-01-12,0.00360592
2022-01-13,2022-01-13,0.00445046
2022-01-14,2022-01-14,0.00371342
2022-01-15,2022-01-15,0.00199798
2022-01-16,2022-01-16,0.00190103
2022-01-17,2022-01-17,0.00417394
2022-01-18,2022-01-18,0.00382377
2022-01-19,2022-01-19,0.00513941
2022-01-20,2022-01-20,0.00513143
2022-01-21,2022-01-21,0.0077504
2022-01-22,2022-01-22,0.00518013
2022-01-23,2022-01-23,0.00320031
2022-01-24,2022-01-24,0.00514676
2022-01-25,2022-01-25,0.00399142
2022-01-26,2022-01-26,0.00654021
2022-01-27,2022-01-27,0.0071427
2022-01-28,2022-01-28,0.00585201
2022-01-29,2022-01-29,0.00654103
2022-01-30,2022-01-30,0.00744018
2022-01-31,2022-01-31,0.00568261
2022-02-01,2022-02-01,0.00356132
2022-02-02,2022-02-02,0.00440181
2022-02-03,2022-02-03,0.00680242
2022-02-04,2022-02-04,0.00490098
2022-02-05,2022-02-05,0.00308137
2022-02-06,2022-02-06,0.00462405
2022-02-07,2022-02-07,0.00386515
2022-02-08,2022-02-08,0.00209746
2022-02-09,2022-02-09,0.00247675
2022-02-10,2022-02-10,0.00378615
2022-02-11,2022-02-11,0.00431552
2022-02-12,2022-02-12,0.00435642
2022-02-13,2022-02-13,0.00223802
2022-02-14,2022-02-14,0.00256692
2022-02-15,2022-02-15,0.00521465
