start_time,datetime,exchange_supply_ratio
2021-01-04 14:00:00,2021-01-04 14:00:00,0.03231218
2021-01-04 15:00:00,2021-01-04 15:00:00,0.03247405
2021-01-04 16:00:00,2021-01-04 16:00:00,0.03243774
2021-01-04 17:00:00,2021-01-04 17:00:00,0.03241515
2021-01-04 18:00:00,2021-01-04 18:00:00,0.03242508
2021-01-04 19:00:00,2021-01-04 19:00:00,0.03240274
2021-01-04 20:00:00,2021-01-04 20:00:00,0.03242531
2021-01-04 21:00:00,2021-01-04 21:00:00,0.03235936
2021-01-04 22:00:00,2021-01-04 22:00:00,0.03234672
2021-01-04 23:00:00,2021-01-04 23:00:00,0.03235442
2021-01-05 00:00:00,2021-01-05 00:00:00,0.03232504
2021-01-05 01:00:00,2021-01-05 01:00:00,0.03243163
2021-01-05 02:00:00,2021-01-05 02:00:00,0.03242719
2021-01-05 03:00:00,2021-01-05 03:00:00,0.03225536
2021-01-05 04:00:00,2021-01-05 04:00:00,0.03220838
2021-01-05 05:00:00,2021-01-05 05:00:00,0.03227464
2021-01-05 06:00:00,2021-01-05 06:00:00,0.03231418
2021-01-05 07:00:00,2021-01-05 07:00:00,0.03241939
2021-01-05 08:00:00,2021-01-05 08:00:00,0.03245072
2021-01-05 09:00:00,2021-01-05 09:00:00,0.03244982
2021-01-05 10:00:00,2021-01-05 10:00:00,0.03246148
2021-01-05 11:00:00,2021-01-05 11:00:00,0.03249222
2021-01-05 12:00:00,2021-01-05 12:00:00,0.03242965
2021-01-05 13:00:00,2021-01-05 13:00:00,0.03245774
2021-01-05 14:00:00,2021-01-05 14:00:00,0.03244661
2021-01-05 15:00:00,2021-01-05 15:00:00,0.03238355
2021-01-05 16:00:00,2021-01-05 16:00:00,0.03238638
2021-01-05 17:00:00,2021-01-05 17:00:00,0.03239561
2021-01-05 18:00:00,2021-01-05 18:00:00,0.03246748
2021-01-05 19:00:00,2021-01-05 19:00:00,0.03261259
2021-01-05 20:00:00,2021-01-05 20:00:00,0.03253528
2021-01-05 21:00:00,2021-01-05 21:00:00,0.03255053
2021-01-05 22:00:00,2021-01-05 22:00:00,0.03253988
2021-01-05 23:00:00,2021-01-05 23:00:00,0.03251783
2021-01-06 00:00:00,2021-01-06 00:00:00,0.03251046
2021-01-06 01:00:00,2021-01-06 01:00:00,0.03249583
2021-01-06 02:00:00,2021-01-06 02:00:00,0.03246613
2021-01-06 03:00:00,2021-01-06 03:00:00,0.0324537
2021-01-06 04:00:00,2021-01-06 04:00:00,0.03239448
